grapier Dragonfly	65535	1309	koala	1684307183
fortifying English Shepherd	65535	13835058055282188535	koala	1684310083
despised Whale Shark	65535	4611686018427417556	koala	1684352160
thixotropic Elephant Seal	65535	9223372036854814473	koala	1684352160
mealier Hyena	65535	4611686018427419454	koala	1684352160
raspiest Radiated Tortoise	65535	13835058055282171941	koala	1684352160
coreless Sabre-Toothed Tiger	65535	8454	koala	1684352160
rhinencephalic Cavalier King Charles Spaniel	65535	2600	koala	1684352160
bearish English Shepherd	65535	13835058055282176896	koala	1684352160
mortiferous Himalayan	65535	4611686018427404980	koala	1684352160
authorised Avocet	65535	9223372036854791927	koala	1684352161
affianced Macaroni Penguin	65535	18714	koala	1684352161
inefficient Falcon	65535	4611686018427407005	koala	1684352161
pinnatifid Antelope	65535	10226	koala	1684352161
curdier Possum	65535	13835058055282166974	koala	1684352161
front-rank Yorkshire Terrier	65535	13835058055282164005	koala	1684352161
antefixal Boxer Dog	65535	9223372036854813063	koala	1684352161
inconsiderable Donkey	65535	4611686018427394323	koala	1684352161
biogeographical Grey Seal	65535	13835058055282166313	koala	1684352161
prejudicial Ostrich	65535	2630	koala	1684352161
eastward Mongrel	65535	9223372036854783172	koala	1684352161
slack Zebra	65535	4611686018427404883	koala	1684352161
teetotal Impala	65535	42050	koala	1684352161
foxiest Jack Russel	65535	16707	koala	1684352161
subaqueous Neapolitan Mastiff	65535	4611686018427396983	koala	1684352161
well-intentioned Crane	65535	9223372036854842240	koala	1684352162
petite Humpback Whale	65535	28317	koala	1684352162
deductive Bloodhound	65535	9223372036854781183	koala	1684352162
fervid Buffalo	65535	4611686018427395691	koala	1684352162
circumlunar Abyssinian	65535	4611686018427389659	koala	1684352162
menseless Glow Worm	65535	9223372036854786270	koala	1684352162
cut Hamster	65535	9223372036854785966	koala	1684352162
heaped Okapi	65535	13835058055282167371	koala	1684352162
jaggy Tapanuli Orang-utan	65535	13835058055282180640	koala	1684352162
sold Collie	65535	9223372036854779795	koala	1684352162
uncontaminated Moorhen	65535	13835058055282165688	koala	1684352162
hyperaesthetic Nurse Shark	65535	9223372036854798381	koala	1684352162
untumbled Anatolian Shepherd Dog	65535	2044	koala	1684352162
Cainozoic American Cocker Spaniel	65535	47040	koala	1684352162
approaching Pygmy Marmoset	65535	4611686018427401640	koala	1684352163
permeating Catfish	65535	3082	koala	1684352163
censorious Greenland Dog	65535	4611686018427393428	koala	1684352163
dynamical Gopher	65535	4611686018427405588	koala	1684352163
lovable Walrus	65535	13835058055282200677	koala	1684352163
reconstructive Staffordshire Bull Terrier	65535	1343	koala	1684352163
oneirocritical Hermit Crab	65535	13835058055282204339	koala	1684352163
buccinatory American Coonhound	65535	9223372036854787891	koala	1684352163
nonverbal German Shepherd	65535	4611686018427389646	koala	1684352163
comforted Bulldog	65535	13835058055282177533	koala	1684352163
obedient Old English Sheepdog	65535	9223372036854777000	koala	1684352163
unsystematic Giant Panda Bear	65535	4611686018427398734	koala	1684352163
dustier Bolognese Dog	65535	7976	koala	1684352163
equidistant Pool Frog	65535	13835058055282168058	koala	1684352163
hirsute Tuatara	65535	33528	koala	1684352163
specialized Sea Squirt	65535	9223372036854805433	koala	1684352164
wearish Indian Elephant	65535	11367	koala	1684352164
tented Cichlid	65535	4390	koala	1684352164
concatenate Oyster	65535	13835058055282231782	koala	1684352164
realized Dalmatian	65535	13835058055282171605	koala	1684352164
dissentient Baboon	65535	13835058055282173287	koala	1684352164
hennaed Banded Palm Civet	65535	4611686018427391525	koala	1684352164
Apollonian Siberian	65535	45509	koala	1684352164
tonal Patas Monkey	65535	9223372036854803907	koala	1684352164
repulsive Aardvark	65535	9223372036854813538	koala	1684352164
sensational Mole	65535	4611686018427388243	koala	1684352165
tinted Rabbit	65535	4611686018427398862	koala	1684352165
long-drawn Duck	65535	9223372036854805557	koala	1684352165
oblong Horse	65535	4611686018427411564	koala	1684352165
unoccupied Quokka	65535	2210	koala	1684352165
rescued Chinook	65535	4611686018427394817	koala	1684352165
nationalism Swan	65535	12057	koala	1684352165
nostalgic Goat	65535	12141	koala	1684352165
distichous Mongoose	65535	4611686018427389040	koala	1684352165
dreary Stellers Sea Cow	65535	9223372036854776804	koala	1684352165
wall-less Aldabra Giant Tortoise	65535	15440	koala	1684352165
pericardial Common Loon	65535	3656	koala	1684352178
